ref_hash,obj
1000169251625791246_sc,153414.48398925707
1000169251625791246_st,153414.48398925707
1000395625957344683_sc,259200.0
1000395625957344683_st,259200.0
1003027494996471685_sc,154232.39463224268
1003027494996471685_st,154232.39463224268
1006670001679961544_sc,152329.3385701248
1006670001679961544_st,152329.3385701248
1007573308966476713_sc,259200.0
1007573308966476713_st,259200.0
1010070503877148763_sc,157117.98768793172
1010070503877148763_st,157117.98768793172
1010265377387765028_sc,259200.0
1010265377387765028_st,259200.0
1010531372912327058_sc,259200.0
1010531372912327058_st,259200.0
1011610998357271358_sc,153296.62147110913
1011610998357271358_st,153296.62147110913
1013543838965040946_sc,161828.70931464573
1013543838965040946_st,161828.70931464573
1014428234021750342_sc,153078.35310116273
1014428234021750342_st,153078.35310116273
101763096421653092_sc,151640.23194124983
101763096421653092_st,151640.23194124983
1017668882534236751_sc,152010.0336763178
1017668882534236751_st,152010.0336763178
1017958004932387739_sc,153478.70783670893
1017958004932387739_st,153478.70783670893
1018126962792619181_sc,153138.03342296372
1018126962792619181_st,153138.03342296372
1021582875881379650_sc,149907.34491649657
1021582875881379650_st,149907.34491649657
1022093956983448460_sc,152370.9754303752
1022093956983448460_st,152370.9754303752
1022155574388897311_sc,259200.0
1022155574388897311_st,259200.0
1024792555410741306_sc,152999.05040798182
1024792555410741306_st,152999.05040798182
1026825193119998092_sc,259200.0
1026825193119998092_st,259200.0
1030603044158081433_sc,150383.1092232423
1030603044158081433_st,150383.1092232423
1030865855693267844_sc,153012.66645187594
1030865855693267844_st,153012.66645187594
1032938399279723623_sc,157303.82010515087
1032938399279723623_st,157303.82010515087
1036919443887988520_sc,153052.76424609133
1036919443887988520_st,153052.76424609133
1037575899869926_sc,153484.60378953326
1037575899869926_st,153484.60378953326
1042912100594917197_sc,152958.59289959256
1042912100594917197_st,152958.59289959256
104412862089502190_sc,259200.0
104412862089502190_st,259200.0
1048460865075142817_sc,154905.8541705135
1048460865075142817_st,154905.8541705135
1048487908287530052_sc,154241.9344287537
1048487908287530052_st,154241.9344287537
1048782984015604883_sc,259200.0
1048782984015604883_st,259200.0
1052346027668414186_sc,153650.2016473534
1052346027668414186_st,153650.2016473534
1052782935269141271_sc,158261.02458649164
1052782935269141271_st,158261.02458649164
105337483767914646_sc,153137.3877626227
105337483767914646_st,153137.3877626227
1053399148291039201_sc,259200.0
1053399148291039201_st,259200.0
1054881396892383323_sc,259200.0
1054881396892383323_st,259200.0
1055760083915480820_sc,259200.0
1055760083915480820_st,259200.0
1056749944537419493_sc,149250.88235718774
1056749944537419493_st,149250.88235718774
