ref_hash,obj
1000169251625791246_sc,259200.0
1000169251625791246_st,259200.0
1000395625957344683_sc,259200.0
1000395625957344683_st,259200.0
1003027494996471685_sc,259200.0
1003027494996471685_st,259200.0
1006670001679961544_sc,259200.0
1006670001679961544_st,259200.0
1007573308966476713_sc,259200.0
1007573308966476713_st,259200.0
1010070503877148763_sc,157117.98768793172
1010070503877148763_st,157117.98768793172
1010265377387765028_sc,259200.0
1010265377387765028_st,259200.0
1010531372912327058_sc,259200.0
1010531372912327058_st,259200.0
1011610998357271358_sc,259200.0
1011610998357271358_st,259200.0
1013543838965040946_sc,161828.70931464573
1013543838965040946_st,161828.70931464573
1014428234021750342_sc,259200.0
1014428234021750342_st,259200.0
101763096421653092_sc,151640.23194124983
101763096421653092_st,151640.23194124983
1017668882534236751_sc,259200.0
1017668882534236751_st,259200.0
1017958004932387739_sc,153478.70783670893
1017958004932387739_st,153478.70783670893
1018126962792619181_sc,153138.03342296372
1018126962792619181_st,153138.03342296372
1021582875881379650_sc,149907.34491649657
1021582875881379650_st,149907.34491649657
1022093956983448460_sc,152370.9754303752
1022093956983448460_st,152370.9754303752
1022155574388897311_sc,259200.0
1022155574388897311_st,259200.0
1024792555410741306_sc,259200.0
1024792555410741306_st,259200.0
1026825193119998092_sc,259200.0
1026825193119998092_st,259200.0
1030603044158081433_sc,259200.0
1030603044158081433_st,259200.0
1030865855693267844_sc,259200.0
1030865855693267844_st,259200.0
1032938399279723623_sc,157303.82010515087
1032938399279723623_st,157303.82010515087
1036919443887988520_sc,153052.76424609133
1036919443887988520_st,153052.76424609133
1037575899869926_sc,153484.60378953326
1037575899869926_st,153484.60378953326
1042912100594917197_sc,152958.59289959256
1042912100594917197_st,152958.59289959256
104412862089502190_sc,259200.0
104412862089502190_st,259200.0
1048460865075142817_sc,154905.8541705135
1048460865075142817_st,154905.8541705135
1048487908287530052_sc,259200.0
1048487908287530052_st,259200.0
1048782984015604883_sc,259200.0
1048782984015604883_st,259200.0
